job_id,job_title,company_name,time_posted,num_applicants,location
4226878968,Python developer,J&M Group,2 months ago,178 applicants,"Mississauga, Ontario, Canada"
4240619431,Python Developer,J&M Group,1 month ago,107 applicants,"Toronto, Ontario, Canada"
4247869812,Python Developer,J&M Group,1 month ago,56 applicants,"Toronto, Ontario, Canada"
4261740144,JAVA & Python Developer,Capgemini,2 weeks ago,,"Toronto, Ontario, Canada"
4275482578,Python Developer,Ascendion,,47 applicants,"Toronto, Ontario, Canada"
4275484473,Python Developer,Ascendion,,42 applicants,"Mississauga, Ontario, Canada"
4266981224,Python Developer,Galent,1 week ago,,"Toronto, Ontario, Canada"
4272305878,Python Developer,Themesoft Inc.,2 days ago,168 applicants,"Toronto, Ontario, Canada"
4033906214,Python Engineer-Developer,J&M Group,10 months ago,61 applicants,"Toronto, Ontario, Canada"
4248329381,Python Backend Developer,"Princeton IT Services, Inc",1 month ago,,"Toronto, Ontario, Canada"
